,,,,count
DWG,FNC,FLY,LGD,48480
DWG,FNC,MCX,LGD,39072
DWG,JDG,FLY,MAD,42144
DWG,JDG,MCX,MAD,35040
DWG,JDG,ROG,TL,30744
DWG,JDG,ROG,UOL,14184
DWG,SNG,FLY,MAD,42144
DWG,SNG,MCX,MAD,35040
DWG,SNG,ROG,TL,30744
DWG,SNG,ROG,UOL,14184
G2,DRX,FLY,LGD,48480
G2,DRX,MCX,LGD,39072
G2,JDG,FLY,UOL,33696
G2,JDG,GEN,TL,43536
G2,JDG,GEN,UOL,16056
G2,JDG,MCX,TL,14412
G2,JDG,MCX,UOL,14412
G2,SNG,FLY,UOL,33696
G2,SNG,GEN,TL,43536
G2,SNG,GEN,UOL,16056
G2,SNG,MCX,TL,14412
G2,SNG,MCX,UOL,14412
TES,DRX,FLY,MAD,44352
TES,DRX,MCX,MAD,30096
TES,DRX,ROG,TL,62664
TES,DRX,ROG,UOL,28776
TES,FNC,FLY,UOL,38784
TES,FNC,GEN,TL,73848
TES,FNC,GEN,UOL,17496
TES,FNC,MCX,TL,17880
TES,FNC,MCX,UOL,17880
TSM,DRX,ROG,LGD,78336
TSM,FNC,GEN,LGD,49104
TSM,FNC,MCX,LGD,29232
TSM,JDG,GEN,MAD,36072
TSM,JDG,MCX,MAD,15408
TSM,JDG,ROG,UOL,36072
TSM,SNG,GEN,MAD,36072
TSM,SNG,MCX,MAD,15408
TSM,SNG,ROG,UOL,36072
